x1,x2
-0.699999988079071,3.700000047683716
-5.599999904632568,6.5
2,5
2.799999952316284,5.199999809265137
0.699999988079071,0.800000011920929
3.5,0.20000000298023224
4,0.6000000238418579
5.800000190734863,3.4000000953674316
7.099999904632568,6.599999904632568
-0.5,-1.100000023841858
2.5,6
-1.600000023841858,3.799999952316284
1.7000000476837158,2
3,1.600000023841858
0.4000000059604645,2
4.5,2.200000047683716
4.599999904632568,1.2000000476837158
2.5,3.0999999046325684
6,1.7000000476837158
-1.399999976158142,-2
